,MSFT,V,WMT
1,55.249226,81.550011,68.55674
2,57.474541,81.362648,66.560478
3,57.800663,76.244812,66.950233
4,60.006588,77.096985,65.704941
5,62.430424,81.731514,63.89661
6,61.783424,86.899643,67.908096
7,63.98444,87.985794,69.009102
8,66.510399,90.312408,72.506271
9,67.851097,94.282516,75.804634
10,67.350868,93.011696,73.476929
11,71.0345,98.744339,77.661461
12,73.057076,102.67189,75.797356
13,73.171272,104.545883,76.342506
14,81.707436,109.254623,85.301575
15,82.679909,111.847404,94.993385
16,84.447639,113.468666,96.478416
17,93.796707,123.629303,104.696709
18,92.57254,122.345543,88.402924
19,90.527733,119.248848,87.381493
20,92.75943,126.486313,87.398575
21,98.036163,130.314392,81.549614
22,98.231979,132.251205,85.155411
23,105.67334,136.534775,88.714737
24,107.984444,143.983582,94.401703